config,family,tier,L,stability,env_mean_db,env_max_db,spur_worst_db,nmr_worst_db,lsd_engine_db,lsd_engine_3utt_db,click_ratio,lsd_sys_db,estoi_orig,crest_delta_db,warpq_ref,warpq_orig,warpq_valid,nisqa_mos,dns_ovrl,mhz_p1,mhz_p2,cost_source,ram_b,flash_b,verdict,latency_note,notes
cycle-replay L=20,engine,,20,by-construction (feedforward),0.66,6.75,-31.9,-10.5,4.64,,2.46,,,,,,,,,0.32,6.42,model,176,1312,contender (top-N / high F0 niche),table rebuild burst at frame boundary (setup ~P*L MAC),CONTENDER P1 niche: top-N harmonics or high F0; setup ~P^2/2
cycle-replay L=40,engine,,40,by-construction (feedforward),0.66,6.75,-31.9,-10.5,4.64,,2.46,,,,,,,,,1.04,21.42,model,336,1312,contender (top-N / high F0 niche),table rebuild burst at frame boundary (setup ~P*L MAC),CONTENDER P1 niche: top-N harmonics or high F0; setup ~P^2/2
cycle-replay L=80,engine,,80,by-construction (feedforward),0.66,6.75,-31.9,-10.5,4.64,,2.46,,,,,,,,,3.92,81.42,model,656,1312,contender (top-N / high F0 niche),table rebuild burst at frame boundary (setup ~P*L MAC),CONTENDER P1 niche: top-N harmonics or high F0; setup ~P^2/2
cycle-replay-2x L=20,engine,2,20,by-construction (feedforward),0.17,1.77,-45.3,-20.8,3.88,,2.63,,,,,,,,,0.56,11.42,model,336,1312,contender (top-N / high F0 niche),table rebuild burst at frame boundary (setup ~P*L MAC),best cheap engine by real-speech LSD (3.88); setup 2x table
cycle-replay-2x L=40,engine,2,40,by-construction (feedforward),0.17,1.77,-45.3,-20.8,3.88,,2.63,,,,,,,,,2,41.42,model,656,1312,contender (top-N / high F0 niche),table rebuild burst at frame boundary (setup ~P*L MAC),best cheap engine by real-speech LSD (3.88); setup 2x table
cycle-replay-2x L=80,engine,2,80,by-construction (feedforward),0.17,1.77,-45.3,-20.8,3.88,,2.63,,,,,,,,,7.76,161.42,model,1296,1312,contender (top-N / high F0 niche),table rebuild burst at frame boundary (setup ~P*L MAC),best cheap engine by real-speech LSD (3.88); setup 2x table
cycle-replay-nn L=20,engine,,20,by-construction (feedforward),,,,,4.38,,2.51,,,,,,,,,0.28,5.43,model,176,1212,killed,table rebuild burst at frame boundary (setup ~P*L MAC),KILLED: nearest worse than linear everywhere
cycle-replay-nn L=40,engine,,40,by-construction (feedforward),,,,,4.38,,2.51,,,,,,,,,1,20.43,model,336,1212,killed,table rebuild burst at frame boundary (setup ~P*L MAC),KILLED: nearest worse than linear everywhere
cycle-replay-nn L=80,engine,,80,by-construction (feedforward),,,,,4.38,,2.51,,,,,,,,,3.88,80.43,model,656,1212,killed,table rebuild burst at frame boundary (setup ~P*L MAC),KILLED: nearest worse than linear everywhere
cr-rt-lin L=20,engine,,20,by-construction (feedforward),0.15,2.15,-50.8,-24.7,5.12,,2.82,,,,,,,,,0.77,15.62,model,532,1300,contender-P1-niche (P2 dead),"table rebuild burst (deadband does NOT amortise: 91% harmonics update per frame, measured)","defense half-won: env 0.15/2.15 on grid but LSD 5.12 on speech; P2 dead, P1 top-N niche only. Nt=128, measured 91% harmonics update/frame"
cr-rt-lin L=40,engine,,40,by-construction (feedforward),0.15,2.15,-50.8,-24.7,5.12,,2.82,,,,,,,,,2.87,59.39,model,1044,1300,contender-P1-niche (P2 dead),"table rebuild burst (deadband does NOT amortise: 91% harmonics update per frame, measured)","defense half-won: env 0.15/2.15 on grid but LSD 5.12 on speech; P2 dead, P1 top-N niche only. Nt=256, measured 91% harmonics update/frame"
cr-rt-lin L=80,engine,,80,by-construction (feedforward),0.15,2.15,-50.8,-24.7,5.12,,2.82,,,,,,,,,11.28,234.5,model,2068,1300,contender-P1-niche (P2 dead),"table rebuild burst (deadband does NOT amortise: 91% harmonics update per frame, measured)","defense half-won: env 0.15/2.15 on grid but LSD 5.12 on speech; P2 dead, P1 top-N niche only. Nt=512, measured 91% harmonics update/frame"
cr-rt-lin-sym L=20,engine,,20,by-construction (feedforward),0.15,2.15,-50.8,-24.7,5.12,,2.82,,,,,,,,,0.42,8.32,model,532,1400,contender-P1-niche (P2 dead),"table rebuild burst (deadband does NOT amortise: 91% harmonics update per frame, measured)","defense half-won: env 0.15/2.15 on grid but LSD 5.12 on speech; P2 dead, P1 top-N niche only. half-table odd/even split: setup /2, +2 ops/smp replay"
cr-rt-lin-sym L=40,engine,,40,by-construction (feedforward),0.15,2.15,-50.8,-24.7,5.12,,2.82,,,,,,,,,1.47,30.21,model,1044,1400,contender-P1-niche (P2 dead),"table rebuild burst (deadband does NOT amortise: 91% harmonics update per frame, measured)","defense half-won: env 0.15/2.15 on grid but LSD 5.12 on speech; P2 dead, P1 top-N niche only. half-table odd/even split: setup /2, +2 ops/smp replay"
cr-rt-lin-sym L=80,engine,,80,by-construction (feedforward),0.15,2.15,-50.8,-24.7,5.12,,2.82,,,,,,,,,5.68,117.76,model,2068,1400,contender-P1-niche (P2 dead),"table rebuild burst (deadband does NOT amortise: 91% harmonics update per frame, measured)","defense half-won: env 0.15/2.15 on grid but LSD 5.12 on speech; P2 dead, P1 top-N niche only. half-table odd/even split: setup /2, +2 ops/smp replay"
REF phase0 q1300 (anchor),anchor,0,,,,,,,,,,9.233,0.552,0.014,,2.093,yes,,,,,,,,anchor,IFFT+OLA: frame + overlap latency,codec2's own phase0 decode vs original: quality ceiling of the codec itself; needs FFT infra (P3-class)
tube-L0,system-rung,2,any,by-construction (G8 cos-LSP data path; int32 state w/ guard bits per budgets.yaml),,,,,,,,7.982,0.556,1.418,1.739,2.213,yes,1.754,2.687,0.461,0.837,model (cumulative worst-F0 deltas),50,800,measured rung,"streaming, no OLA","cumulative ladder L0; quality = tube-ladder q1300, 3 utts vs codec2 phase0 ref"
tube-L1,system-rung,2,any,by-construction (G8 cos-LSP data path; int32 state w/ guard bits per budgets.yaml),,,,,,,,7.916,0.56,1.431,1.739,2.191,yes,1.798,2.747,0.669,1.253,model (cumulative worst-F0 deltas),302,990,measured rung,streaming; L1 adds 65-tap dispersion stamp (8 ms @ 8 kHz),"cumulative ladder L0+L1; quality = tube-ladder q1300, 3 utts vs codec2 phase0 ref"
tube-L2-1500,system-rung,2,any,by-construction (G8 cos-LSP data path; int32 state w/ guard bits per budgets.yaml),,,,,,,,8.289,0.543,0.72,1.9,2.295,no,2.005,2.604,0.965,1.837,model (cumulative worst-F0 deltas),318,1568,measured rung,streaming; L1 adds 65-tap dispersion stamp (8 ms @ 8 kHz),"cumulative ladder L0+L1+L2; quality = tube-ladder q1300, 3 utts vs codec2 phase0 ref; WARP-Q N/A for verdicts: intentional shaped noise (H1 jurisdiction), raw value kept for transparency"
tube-L2-2000,system-rung,2,any,by-construction (G8 cos-LSP data path; int32 state w/ guard bits per budgets.yaml),,,,,,,,8.164,0.549,1.046,1.826,2.248,no,2.145,2.722,0.965,1.837,model (cumulative worst-F0 deltas),318,1568,measured rung,streaming; L1 adds 65-tap dispersion stamp (8 ms @ 8 kHz),"cumulative ladder L0+L1+L2; quality = tube-ladder q1300, 3 utts vs codec2 phase0 ref; WARP-Q N/A for verdicts: intentional shaped noise (H1 jurisdiction), raw value kept for transparency"
tube-L2-2500,system-rung,2,any,by-construction (G8 cos-LSP data path; int32 state w/ guard bits per budgets.yaml),,,,,,,,8.057,0.554,1.278,1.784,2.217,no,2.096,2.77,0.965,1.837,model (cumulative worst-F0 deltas),318,1568,measured rung,streaming; L1 adds 65-tap dispersion stamp (8 ms @ 8 kHz),"cumulative ladder L0+L1+L2; quality = tube-ladder q1300, 3 utts vs codec2 phase0 ref; WARP-Q N/A for verdicts: intentional shaped noise (H1 jurisdiction), raw value kept for transparency"
tube-L3,system-rung,2,any,by-construction (G8 cos-LSP data path; int32 state w/ guard bits per budgets.yaml),,,,,,,,8.269,0.544,0.943,1.862,2.285,no,2.172,2.706,0.969,1.842,model (cumulative worst-F0 deltas),318,1568,measured rung,streaming; L1 adds 65-tap dispersion stamp (8 ms @ 8 kHz),"cumulative ladder L0+L1+L2+L3; quality = tube-ladder q1300, 3 utts vs codec2 phase0 ref; WARP-Q N/A for verdicts: intentional shaped noise (H1 jurisdiction), raw value kept for transparency"
tube-L4-0.50,system-rung,1,any,by-construction (G8 cos-LSP data path; int32 state w/ guard bits per budgets.yaml),,,,,,,,7.802,0.553,0.532,1.832,2.277,no,2.473,2.723,1.722,3.348,model (cumulative worst-F0 deltas),402,2868,tier-1 knee,streaming; L1 adds 65-tap dispersion stamp (8 ms @ 8 kHz),"cumulative ladder L0+L1+L2+L3+L4; quality = tube-ladder q1300, 3 utts vs codec2 phase0 ref; WARP-Q N/A for verdicts: intentional shaped noise (H1 jurisdiction), raw value kept for transparency"
tube-L4-0.65,system-rung,1,any,by-construction (G8 cos-LSP data path; int32 state w/ guard bits per budgets.yaml),,,,,,,,7.804,0.551,0.56,1.818,2.262,no,2.414,2.743,1.722,3.348,model (cumulative worst-F0 deltas),402,2868,tier-1 knee,streaming; L1 adds 65-tap dispersion stamp (8 ms @ 8 kHz),"cumulative ladder L0+L1+L2+L3+L4; quality = tube-ladder q1300, 3 utts vs codec2 phase0 ref; WARP-Q N/A for verdicts: intentional shaped noise (H1 jurisdiction), raw value kept for transparency"
tube-L4-0.75,system-rung,1,any,by-construction (G8 cos-LSP data path; int32 state w/ guard bits per budgets.yaml),,,,,,,,8.019,0.548,0.739,1.828,2.265,no,2.29,2.726,1.722,3.348,model (cumulative worst-F0 deltas),402,2868,tier-1 knee,streaming; L1 adds 65-tap dispersion stamp (8 ms @ 8 kHz),"cumulative ladder L0+L1+L2+L3+L4; quality = tube-ladder q1300, 3 utts vs codec2 phase0 ref; WARP-Q N/A for verdicts: intentional shaped noise (H1 jurisdiction), raw value kept for transparency"
tube-rec-P1 (L0+L1+L2.5k+L4),system-rec,1,any,by-construction (as tube rungs),,,,,,,,7.672,0.568,0.766,,,,2.312,2.728,1.718,,model (derived sum),402,2868,recommended (tier-1 knee),as tube-L4,"tube-ladder P1 recommendation; exact subset measured round-4 (coverage knees: q1300, 3 utts, classic + neural)"
tube-rec-P2 (L0+L2.5k+L4),system-rec,1,any,by-construction (as tube rungs),,,,,,,,7.71,0.563,0.555,,,,2.381,2.798,,2.927,model (derived sum),150,2678,recommended (tier-1 knee),"streaming, no dispersion FIR","tube-ladder P2 recommendation (no L1); exact subset measured round-4 (coverage knees); neural judges see NO consistent loss vs the P1 knee (NISQA-MOS mean 2.38 vs 2.31, sign flips per utt; DNSMOS slightly prefers P2 on all 3 utts)"
par-plain,variant,,any,by-testing (gamma-retry),,,,,,,,8.578,0.535,1.349,2.008,,yes,1.507,2.609,1.99,1.99,"model (mapped, float golden measured)",,,baseline for G3 A/B,"streaming, no OLA; ~frame latency only","parallel SOS, all-impulse excitation (float form of parallel-sos-csd3); cost = parallel-sos-csd3 model row; quality vs q1300 phase0 ref (metrics-adequacy stand)"
par-noise-2000,variant,,any,by-testing (gamma-retry),,,,,,,,9.293,0.501,0.85,2.175,,no,1.643,2.499,1.99,1.99,"model (mapped, float golden measured)",,,conditionally-confirmed (ears pending),"streaming, no OLA; ~frame latency only",G3+H1 fc=2000: CONDITIONALLY CONFIRMED comfort-noise carrier (NISQA +0.58 MOS on low-male-F0 buzz; ~0 on female; DNSMOS against on noisy rec); cost = parallel-sos-csd3 + LFSR ~3 ops/smp; quality vs q1300 phase0 ref (metrics-adequacy stand)
par-noise-1000,variant,,any,by-testing (gamma-retry),,,,,,,,9.617,0.467,-0.009,2.349,,no,1.381,2.352,1.99,1.99,"model (mapped, float golden measured)",,,killed,"streaming, no OLA; ~frame latency only",G3+H1 fc=1000: KILLED by all judges at once (ESTOI -0.07); quality vs q1300 phase0 ref (metrics-adequacy stand)
smooth-mix-800,variant,2,any,by-construction (as tube rungs),,,,,,,,8.552,0.528,-0.15,1.983,,no,1.698,2.185,0.757,1.421,"model (mapped, float golden measured)",,,measured variant,"streaming, no OLA; ~frame latency only",tube rung-2 with generous noise share (fc=800); cost = L0+L2 cumulative; quality vs q1300 phase0 ref (metrics-adequacy stand)
smooth-mix-1500,variant,2,any,by-construction (as tube rungs),,,,,,,,8.289,0.543,0.72,1.905,,no,2.005,2.629,0.757,1.421,"model (mapped, float golden measured)",,,measured variant,"streaming, no OLA; ~frame latency only",tube rung-2 with generous noise share (fc=1500); NISQA_dis 3.41 vs 2.72 of par-noise-2000 — beats G3-form at lower cost; quality vs q1300 phase0 ref (metrics-adequacy stand)
